group,cpu_pct,ram_pct,ram_gb
1_cams,14.895,6.163,7.733
1_cams,13.739,6.162,7.733
1_cams,13.394,6.169,7.741
1_cams,13.639,6.169,7.741
1_cams,16.097,6.168,7.741
1_cams,16.449,6.166,7.738
1_cams,16.751,6.165,7.736
1_cams,16.465,6.164,7.735
1_cams,14.156,6.167,7.739
1_cams,15.439,6.16,7.731
1_cams,15.594,6.159,7.729
1_cams,16.675,6.156,7.725
1_cams,15.605,6.155,7.724
1_cams,15.458,6.161,7.731
1_cams,16.239,6.16,7.73
1_cams,15.141,6.158,7.728
1_cams,18.044,6.157,7.726
1_cams,19.869,6.159,7.728
1_cams,18.26,6.154,7.722
1_cams,15.729,6.16,7.73
1_cams,12.689,6.158,7.727
1_cams,12.777,6.157,7.726
1_cams,18.323,6.155,7.724
1_cams,19.769,6.16,7.73
1_cams,18.448,6.16,7.73
1_cams,21.429,6.163,7.734
1_cams,22.665,6.163,7.734
1_cams,15.66,6.169,7.742
1_cams,15.121,6.17,7.742
1_cams,16.238,6.174,7.747
1_cams,19.507,6.174,7.747
1_cams,17.127,6.171,7.744
1_cams,14.171,6.171,7.743
1_cams,15.191,6.166,7.738
1_cams,15.264,6.166,7.738
1_cams,15.206,6.162,7.733
1_cams,15.819,6.163,7.733
1_cams,15.299,6.159,7.728
1_cams,14.824,6.151,7.719
1_cams,18.369,6.147,7.714
1_cams,17.78,6.147,7.713
1_cams,19.256,6.15,7.718
1_cams,20.382,6.149,7.716
1_cams,21.22,6.152,7.72
1_cams,16.004,6.153,7.721
1_cams,15.075,6.155,7.724
1_cams,16.121,6.173,7.746
1_cams,16.231,6.176,7.75
1_cams,16.105,6.173,7.747
1_cams,16.683,6.178,7.753
1_cams,15.106,6.176,7.75
1_cams,14.473,6.172,7.745
1_cams,12.582,6.171,7.744
1_cams,14.925,6.167,7.739
1_cams,16.097,6.167,7.739
1_cams,15.763,6.173,7.746
1_cams,18.053,6.172,7.746
1_cams,17.347,6.176,7.75
1_cams,15.083,6.175,7.748
1_cams,17.674,6.181,7.757
1_cams,14.912,6.181,7.757
1_cams,13.431,6.176,7.751
1_cams,14.394,6.176,7.75
1_cams,17.343,6.159,7.728
1_cams,14.947,6.158,7.728
1_cams,15.787,6.16,7.731
1_cams,16.155,6.161,7.731
1_cams,15.652,6.158,7.728
1_cams,15.018,6.159,7.728
1_cams,15.416,6.159,7.728
1_cams,14.776,6.152,7.72
1_cams,16.566,6.153,7.721
1_cams,20.624,6.151,7.718
1_cams,21.206,6.15,7.717
1_cams,21.497,6.148,7.715
1_cams,20.483,6.148,7.715
1_cams,19.598,6.15,7.718
1_cams,19.225,6.149,7.717
1_cams,19.587,6.146,7.713
1_cams,17.916,6.146,7.712
1_cams,16.583,6.153,7.722
1_cams,17.33,6.154,7.722
1_cams,19.568,6.16,7.73
1_cams,17.632,6.16,7.73
1_cams,15.412,6.157,7.726
1_cams,15.035,6.156,7.725
1_cams,15.091,6.158,7.727
1_cams,16.683,6.158,7.728
1_cams,17.413,6.157,7.726
1_cams,19.227,6.156,7.725
1_cams,16.449,6.163,7.734
1_cams,17.925,6.162,7.733
1_cams,17.671,6.167,7.739
1_cams,18.671,6.166,7.737
1_cams,15.427,6.161,7.731
1_cams,15.315,6.161,7.731
1_cams,16.247,6.158,7.728
1_cams,15.636,6.156,7.726
1_cams,17.044,6.158,7.728
1_cams,18.42,6.157,7.727
1_cams,16.927,6.155,7.724
1_cams,18.2,6.155,7.724
1_cams,18.104,6.151,7.718
1_cams,17.967,6.15,7.718
1_cams,16.131,6.148,7.715
1_cams,14.114,6.148,7.715
1_cams,16.02,6.147,7.714
1_cams,16.374,6.148,7.715
1_cams,17.44,6.152,7.721
1_cams,17.68,6.152,7.72
1_cams,15.938,6.16,7.73
1_cams,15.869,6.16,7.73
1_cams,19.295,6.165,7.737
1_cams,18.319,6.163,7.734
1_cams,19.718,6.164,7.735
1_cams,14.869,6.164,7.734
1_cams,13.105,6.165,7.736
1_cams,12.96,6.164,7.736
1_cams,14.322,6.162,7.733
1_cams,12.04,6.162,7.732
1_cams,13.011,6.169,7.741
1_cams,13.501,6.168,7.74
1_cams,15.567,6.165,7.736
1_cams,17.487,6.164,7.736
1_cams,19.92,6.172,7.745
1_cams,17.313,6.172,7.745
1_cams,14.917,6.167,7.738
1_cams,16.6,6.159,7.729
1_cams,17.212,6.158,7.727
1_cams,18.021,6.164,7.735
1_cams,19.566,6.178,7.752
1_cams,20.302,6.194,7.772
1_cams,19.488,6.193,7.772
1_cams,22.043,6.19,7.768
1_cams,19.397,6.188,7.765
1_cams,15.694,6.188,7.765
1_cams,13.725,6.189,7.766
1_cams,15.686,6.193,7.772
1_cams,17.146,6.196,7.775
1_cams,13.962,6.202,7.783
1_cams,14.889,6.201,7.782
1_cams,17.018,6.206,7.787
1_cams,18.328,6.205,7.787
1_cams,16.793,6.203,7.784
1_cams,19.718,6.202,7.782
1_cams,23.29,6.201,7.781
1_cams,22.698,6.2,7.78
1_cams,17.839,6.201,7.782
1_cams,18.813,6.2,7.78
1_cams,18.964,6.205,7.787
2_cams,21.278,6.337,7.953
